ID,NR_QUESTAO,EXECUTA,NR_ERROS,TEMPO_GASTO,USOU_COPILOT,TURMA,NOTA_DISCIPLINA,IRA,IDADE,GENERO,TEMPO_PROGRAMA(MESES),NIVEL_CONHECIMENTO_IA,USOU_COPILOT_ANTERIORMENTE,UTILIZOU_SPRING_ANTERIORMENTE,NR_ENCONTROS
1,4,1,0,3,1,1,"9,1","8,4",19,0,24,4,0,0,3
1,2,1,1,1,1,1,"9,1","8,4",19,0,24,4,0,0,3
1,3,1,0,7,0,1,"9,1","8,4",19,0,24,4,0,0,3
1,1,1,2,13,0,1,"9,1","8,4",19,0,24,4,0,0,3
2,4,0,5,112,0,2,"9,3","2,92",24,1,12,3,0,0,3
2,3,1,0,57,1,2,"9,3","2,92",24,1,12,3,0,0,3
2,2,1,0,30,0,2,"9,3","2,92",24,1,12,3,0,0,3
2,1,1,0,75,1,2,"9,3","2,92",24,1,12,3,0,0,3
3,2,1,0,14,0,1,"8,9","8,91",20,1,36,3,0,0,2
4,1,1,0,46,1,1,"8,8","8,7",24,1,120,3,0,0,3
4,2,1,0,17,0,1,"8,8","8,7",24,1,120,3,0,0,3
4,4,1,0,26,0,1,"8,8","8,7",24,1,120,3,0,0,3
4,3,1,0,16,1,1,"8,8","8,7",24,1,120,3,0,0,3
5,4,1,4,9,0,2,10,"8,5",19,1,11,1,1,0,4
5,1,0,4,20,1,2,10,"8,5",19,1,11,1,1,0,4
5,3,1,3,5,1,2,10,"8,5",19,1,11,1,1,0,4
5,2,0,2,12,0,2,10,"8,5",19,1,11,1,1,0,4
6,4,1,0,85,0,2,"9,8","8,8",21,0,11,2,0,0,4
6,1,1,0,35,1,2,"9,8","8,8",21,0,11,2,0,0,4
6,2,1,0,27,0,2,"9,8","8,8",21,0,11,2,0,0,4
6,3,1,1,9,1,2,"9,8","8,8",21,0,11,2,0,0,4
7,4,0,4,2,1,1,"9,1","8,6",20,1,36,3,0,1,1
7,2,1,1,2,1,1,"9,1","8,6",20,1,36,3,0,1,1
7,1,0,4,20,0,1,"9,1","8,6",20,1,36,3,0,1,1
7,3,1,3,10,0,1,"9,1","8,6",20,1,36,3,0,1,1
8,4,1,0,18,0,1,"8,3","7,29",20,1,12,3,1,0,3
8,1,0,17,29,1,1,"8,3","7,29",20,1,12,3,1,0,3
